name,city,countryOne,code,lat,lon,type,countryTwo,id
Dauphin Barker Airport,Dauphin,Canada,YDN,51.10079956,-100.052002,air,,6a539d51-68f8-4095-9d25-e38cb7d2fbaa
Dawson Creek Airport,Dawson Creek,Canada,YDQ,55.74229813,-120.1829987,air,,f20bea0f-20ad-4b82-b85d-6e472f60f92b
Edmonton International Airport,Edmonton,Canada,YEG,53.30970001,-113.5800018,air,,b753e35f-8423-4e71-918a-ef8084a479b3
Arviat Airport,Eskimo Point,Canada,YEK,61.09420013,-94.07080078,air,,076e6cf5-093a-4135-b284-b60848d933bc
Estevan Airport,Estevan,Canada,YEN,49.21030045,-102.9660034,air,,ef1b2c2f-b340-4f4c-935b-9f13a29383d6
Edson Airport,Edson,Canada,YET,53.57889938,-116.4649963,air,,facf7a16-0b22-463a-b6bb-bee9f88020dc
Eureka Airport,Eureka,Canada,YEU,79.99469757,-85.81420136,air,,ad8400aa-a30d-462f-8140-ba9fa4d2862a
Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,68.30419922,-133.4830017,air,,11baef5b-cd33-4ca3-9989-79e510a2a99f
Iqaluit Airport,Iqaluit,Canada,YFB,63.756402,-68.555801,air,,37ced693-b8c4-45fc-8097-1befda656edd
Fredericton Airport,Fredericton,Canada,YFC,45.8689003,-66.53720093,air,,24e63a57-5479-4b4e-8f9d-4bfb5d380c15
Forestville Airport,Forestville,Canada,YFE,48.74610138,-69.09719849,air,,bb051c0c-18c3-4def-847c-2fd4193e3517
Flin Flon Airport,Flin Flon,Canada,YFO,54.67810059,-101.6819992,air,,95b6a804-f55e-4e20-a053-1da7894b50e9
Fort Resolution Airport,Fort Resolution,Canada,YFR,61.18080139,-113.6900024,air,,57c24eda-62b7-488f-9d1c-0b7a45ca4bf8
Fort Simpson Airport,Fort Simpson,Canada,YFS,61.7602005,-121.2369995,air,,391a10d0-b2c5-4251-90ee-d7fa7ca53efc
Kingston Norman Rogers Airport,Kingston,Canada,YGK,44.22529984,-76.59690094,air,,5c68b3de-d78f-4133-a1ab-25c72e26a5b7
La Grande Rivière Airport,La Grande Riviere,Canada,YGL,53.62530136,-77.70420074,air,,09b7fc51-b0a0-4f15-9d13-cda4875cf089
Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,48.77529907,-64.47859955,air,,eba54720-13f1-4cff-ba31-f8d69024f0e3
Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,49.77830124,-86.93939972,air,,44860709-0f58-49a3-9018-b640a407e14b
Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,47.42470169,-61.77809906,air,,6e76be60-d1bc-42b7-bf76-df6993d1319e
Hudson Bay Airport,Hudson Bay,Canada,YHB,52.81669998,-102.310997,air,,1579eadf-4102-45e1-a4c9-136b2a741dc0
